subject,sq_err_full,sq_err_driving,sq_err_demo,sq_err_baseline
1010,0.2965178329983369,0.2809106477524284,0.2753897596230087,0.26221277261070974
1016,0.4684275483620432,0.5362115669480016,0.49759580440901624,0.5807463507848966
1018,0.004018024849811706,0.0012475968021995075,0.002022059666298669,0.00014561626233609403
1026,0.06359320721443755,0.05497978416693107,0.06418955604292492,0.056612038088149276
1030,0.08573283048009739,0.07018189985387577,0.07149295170906891,0.056612038088149276
1033,0.06806765351598514,0.053182977842205645,0.08137681784092299,0.056612038088149276
1037,0.5964111647278062,0.5919399869364241,0.580370862642376,0.5807463507848966
1042,0.06559750110624266,0.056612038088149276,0.06560387649428669,0.056612038088149276
1045,0.03242679351399359,0.05255833459310856,0.03273487896844361,0.056612038088149276
1046,0.07972078692232597,0.08951080005404939,0.04260948941391131,0.056612038088149276
1047,0.04559507964437068,0.06821240384674745,0.03112792320204128,0.056612038088149276
1066,0.06363771220164888,0.07632569550403545,0.057359638503702626,0.06867919443652291
1071,0.04626695645731917,0.05928487067071267,0.042038400787578166,0.056612038088149276
1072,0.06755869132044046,0.056612038088149276,0.06631681617760725,0.056612038088149276
1074,0.5259922472422012,0.5650837549677298,0.5234106590407268,0.5807463507848966
1075,0.1285930954739682,0.09652920465865043,0.09490930400909989,0.06867919443652291
1079,6.94096740902876e-05,0.0003929996891007082,0.0025132623585999614,0.00014561626233609403
1085,0.03664550726668018,0.039951040545230035,0.05489125996149336,0.056612038088149276
1091,0.005396324442028693,0.0011152674852979794,0.003631015297314891,0.00014561626233609403
1094,0.05109045276545273,0.06402693498558752,0.04260948941391131,0.056612038088149276
1101,0.09603073458554025,0.07648588280875078,0.07968508215073507,0.056612038088149276
1107,0.001040689957568251,8.69449084473159e-05,0.003372535663763027,0.00014561626233609403
1120,0.05960315891399962,0.07398610277101758,0.03939414080932075,0.056612038088149276
1134,4.4611012691981537e-05,2.5817401998786324e-05,0.00011462012901894051,0.00014561626233609403
1139,0.03714365721687725,0.04103976696730744,0.052347808743378896,0.056612038088149276
1141,1.0580867125041042,1.09156495526261,0.9657795025188444,1.0242799289590834
1150,0.06062589378193741,0.056612038088149276,0.06235380750132864,0.056612038088149276
1158,0.06781709200808166,0.056238272334532345,0.05896228842915317,0.056612038088149276
1162,0.0543421718971963,0.06488371161187201,0.057359638503702626,0.06867919443652291
1168,0.0934886233162769,0.06681681669462096,0.0885515060824863,0.056612038088149276
1172,0.0589448487022786,0.04701650759302769,0.07217130065855269,0.056612038088149276
1178,0.05815345511113484,0.05925597440096656,0.05989392535695223,0.056612038088149276
1181,0.0648790720205802,0.054304992914838285,0.08299408218121634,0.06867919443652291
1197,0.08356232400492553,0.08772669637106294,0.050208186309393436,0.056612038088149276
1202,0.04121417570799124,0.053811839871647206,0.04039746882020983,0.056612038088149276
1210,0.06690301141489836,0.07074324003786665,0.05372066846712831,0.056612038088149276
1221,0.03331821962151776,0.047266645865981775,0.0385318067026489,0.056612038088149276
1223,0.006905846295729238,0.0030725422692760344,0.0018303806340290729,0.00014561626233609403
1230,0.8475893689151367,0.9709467916717683,0.8750070369211915,1.0242799289590834
1244,0.002517130857505999,0.0012583173373431815,0.0016217780009626678,0.00014561626233609403
1252,0.08553818499251685,0.06758031505644492,0.0826278431689738,0.056612038088149276
1279,0.8977638896516643,0.9860507906925672,0.9341828722309642,1.0242799289590834
1296,0.026432684413995808,0.04430396469243456,0.033558203866464666,0.056612038088149276
1298,0.06293345993802273,0.07879259213800785,0.0390786404523458,0.056612038088149276
1314,1.0021645780015493,1.0242799289590834,0.9873654830229863,1.0242799289590834
1318,0.04663255734472642,0.05754544641283979,0.04465676646629106,0.056612038088149276
1319,0.08612948052173729,0.06215235761906327,0.08349848400133511,0.056612038088149276
1321,0.05289737145247611,0.05250037926475918,0.05983850386659622,0.056612038088149276
1323,0.031981729733815,0.04723888080639339,0.036835767318426166,0.056612038088149276
1327,0.00023715505590419145,0.001083675302196884,0.00011462012901894051,0.00014561626233609403
1330,0.0866947175924197,0.056612038088149276,0.09821875475987084,0.056612038088149276
1332,0.28762309815770043,0.2556938763160818,0.29937496922125506,0.26221277261070974
1335,0.09675212768613473,0.0811978812310463,0.09103811422474618,0.06867919443652291
1338,0.10804826517277298,0.07866712740220128,0.07878838096982639,0.056612038088149276
1343,0.0011697785069728272,0.0005398324181445607,0.0008964661233336694,0.00014561626233609403
1363,0.043440554313294,0.0615776846541388,0.03517789970636481,0.056612038088149276
1365,0.07542114473693223,0.056612038088149276,0.08217063141603384,0.056612038088149276
1368,0.06949382284407445,0.056612038088149276,0.07378173136705081,0.056612038088149276
1380,0.06133502515314823,0.04722155917524264,0.07635492037221396,0.056612038088149276
1382,0.04265336959317919,0.06407044659561628,0.03517789970636481,0.056612038088149276
1384,0.004675183180589817,0.001375010592061995,0.003631015297314891,0.00014561626233609403
1403,0.021735953067167704,0.034298997007392175,0.03570047857942547,0.056612038088149276
1405,0.052119413039868466,0.050904219293129854,0.05261886531027829,0.056612038088149276
1421,0.004502982471465137,0.0013672783872900867,0.003899037873907051,0.00014561626233609403
1442,0.07763366136738416,0.062169560249441,0.07100242259862774,0.056612038088149276
1445,0.03136322073754711,0.05433951518414034,0.030919524061254634,0.056612038088149276
1446,0.05722025348161459,0.056612038088149276,0.05642236051489053,0.056612038088149276
1447,0.09796756767229009,0.08963102550143566,0.04549733535142367,0.056612038088149276
1451,0.04463367248226982,0.057469933659503744,0.04592544885466788,0.056612038088149276
1452,0.05293392721055584,0.06932305942238852,0.03821978556955521,0.056612038088149276
1453,0.031024427360006435,0.04924390915706305,0.03436328031489458,0.056612038088149276
1458,0.27319700600489666,0.2749609880573884,0.26821578110750205,0.26221277261070974
1462,0.08263109238768931,0.07903337865274618,0.06091195249611794,0.056612038088149276
1465,0.0876753006778279,0.06237660010083311,0.0898563098448978,0.056612038088149276
1469,0.02529446507931079,0.02423274920578972,0.06051948272976089,0.056612038088149276
1475,0.03559254920845865,0.04108948378247537,0.05099271888691426,0.056612038088149276
1483,0.07290219025785445,0.06800877050266742,0.061892999371369814,0.056612038088149276
1485,0.08771452604985758,0.07677075655232977,0.06796765966322146,0.056612038088149276
1488,0.035683668003450575,0.051482326237179896,0.03517789970636481,0.056612038088149276
1490,0.08501560519073277,0.08293468973534263,0.06961896741185646,0.06867919443652291
1498,5.7173623991742814e-05,0.0007830857340181157,0.0034656683579292018,0.00014561626233609403
1514,0.05591890651127866,0.04463896693735521,0.07217130065855269,0.056612038088149276
1518,0.039430472263431535,0.053813173494796945,0.0385318067026489,0.056612038088149276
1524,0.0029240396964459034,0.000511995397916643,0.003123598973251487,0.00014561626233609403
1525,0.07506528976141773,0.06066263055444229,0.07801111632783214,0.056612038088149276
1534,0.0026191528147550794,0.000716955132128629,0.0018991587610264341,0.00014561626233609403
1537,0.038664201988915584,0.04680932493645065,0.0461793562255399,0.056612038088149276
1542,0.04120810934083705,0.056612038088149276,0.0385318067026489,0.056612038088149276
1547,0.0012509066609008512,0.00011687574503402244,0.0005176349439494954,0.00014561626233609403
1550,0.002263483579792849,0.00028765604462564206,0.0026543544213493797,0.00014561626233609403
1558,0.11096758400796584,0.08307482009187869,0.07990359979856462,0.056612038088149276
1561,0.04989393489958164,0.0494694662534561,0.0557649028006467,0.056612038088149276
1564,0.05190251269310357,0.06190165614218253,0.04384895548828479,0.056612038088149276
1574,0.00018494940145574235,0.0012099633342746927,0.0016482445447998006,0.00014561626233609403
1581,0.04293075504209475,0.056612038088149276,0.04026601785903293,0.056612038088149276
1582,0.31467508841528213,0.2739052674439425,0.29937496922125506,0.26221277261070974
1583,0.09611555090234199,0.07667202252813227,0.07515250448796836,0.056612038088149276
1589,0.05634799738691333,0.05561340129351814,0.05619971791671309,0.056612038088149276
1622,0.0026015580016724984,7.28071476816125e-05,0.002263480621357289,0.00014561626233609403
1626,0.049869211992526925,0.058059331025550436,0.049392095816668494,0.056612038088149276
1627,0.04057485671211514,0.05764423286779058,0.0390786404523458,0.056612038088149276
1629,0.05344845129939624,0.07492804715306044,0.036835767318426166,0.056612038088149276
1630,0.042102988071360446,0.05417865886035459,0.039312884545910434,0.056612038088149276
1634,0.05052181028388255,0.060229972015022996,0.04114743785178534,0.056612038088149276
1635,0.04556932320555876,0.053389700325753436,0.04686645100558432,0.056612038088149276
1652,0.0840837121954778,0.0718530294365199,0.08572185460164683,0.06867919443652291
1656,0.005084975423024589,0.001754979791624834,0.0022232816416085897,0.00014561626233609403
1668,2.102250279655395e-05,1.5854865040180777e-05,4.016187097491217e-05,0.00014561626233609403
1671,0.0015604161528554857,0.0002439924080461385,0.002022059666298669,0.00014561626233609403
1676,2.321833496215055e-05,0.00014561626233609403,9.820192238966762e-05,0.00014561626233609403
1682,0.059707867984713905,0.05936623898290718,0.06521940431262391,0.06867919443652291
1684,0.5407201160157529,0.5508228444371739,0.5661059704686122,0.5807463507848966
1686,0.07160925385118162,0.06036878693790568,0.07217130065855269,0.056612038088149276
1687,0.06198788186603878,0.06323844124325247,0.05635061952075867,0.056612038088149276
1696,0.05151563521932683,0.059841697868444566,0.05164592401797552,0.056612038088149276
1710,0.00034623936326329523,0.00017088988353426723,1.024469488329364e-06,0.00014561626233609403
1713,0.06453069063294693,0.08081894310811853,0.03767901553901737,0.056612038088149276
1714,0.029953699442194778,0.04300090372328966,0.04517725059874826,0.06867919443652291
1722,0.09594483228521018,0.0790441737484958,0.08877305738568896,0.06867919443652291
1724,0.21657931328344146,0.25864389882713945,0.20992952433224182,0.26221277261070974
1732,0.00037451233386348994,0.00018315809453097183,0.002434046559958812,0.00014561626233609403
1736,0.05623432927467414,0.05698946197002473,0.056801334381966384,0.056612038088149276
1737,0.5121838271926774,0.5807463507848966,0.5018099744473474,0.5807463507848966
1739,0.04388640561884997,0.05675482832822822,0.03939414080932075,0.056612038088149276
1747,2.9114973907319963,3.1567030329791543,2.7906180437860137,3.104880663481644
1749,0.03399248595700802,0.04170220643461954,0.04384895548828479,0.056612038088149276
