"","DaysDriving","Miles_n","Trips","TripMinutes_n","TripChains","MilesPerTrip_n","MinutesPerTrip_n","MilesPerChain_n","MinutesPerChain_n","Average_speed","LeftTurnCount","RightToLeftTurnRatio_n","TripsAMPeak","PercentTripsAMPeak_n","TripsPMPeak","PercentTripsPMPeak_n","TripsAtNight","PercentTripsAtNight_n","TripsLt15Miles","PercentDistLt15Miles_n","TripsVgt60","PercentTripsVgt60_n","SpeedingPer1000Miles","DecelerationPer1000Miles","LIFESATISFACTION","cog","phys","fati","socialrole","iso","info","emo","ins","dep","anx","ang","Age","EDUCATION","INCOME","Site_JHSPH","Site_UCDENVER","Site_UCSD","Site_UMTRI","GENDER_Female","RACE_Black","RACE_American_Indian","RACE_Asian","RACE_Alaska_Native_Native_Hawaiian_Pacific_Islander","RACE_Other_Non_Hispanic","RACE_Hispanic","WORK_Working","MARRIAGE_Living_with_a_partner","MARRIAGE_Separated","MARRIAGE_Divorced","MARRIAGE_Widowed","MARRIAGE_Never_married"
"LeftTurnCount",452.59231989,30151.97475343,4943.88031287,81250.25912147,470.04424678,-0.16884066,71.50777753,-879.31575455,-1207.06032747,-101.21212893,14701.56338228,-1.29931209,406.48120121,59.89210771,559.53687016,70.91917849,535.7042542,153.99110223,4265.81067585,101.19324954,530.78218923,-25.49329255,52.96879491,8.49617482,-3.67257999,5.56297824,-5.68637843,-3.5202128,-0.41750109,-3.86362539,-3.28156911,-4.52766969,-2.41836771,-0.63259935,-0.03951717,0.72124177,-49.78504234,-4.56983735,-0.24544482,8.35549677,0.50520429,-1.42846059,2.12950609,-1.98388509,5.44465154,0.46446318,-0.23511673,0.06942859,-0.25693976,0.62543405,6.63761465,-0.3402723,0.32313958,0.31329792,-0.76721626,0.24725286
"RightToLeftTurnRatio_n",-0.00619156,-3.58761394,-0.18528901,-4.58464673,-0.05247296,-0.02186568,-0.01498955,0.14294948,0.86011219,-0.06967505,-1.29931209,0.01758748,-0.02433123,-0.0060321,-0.00358267,0.01789043,-0.03439445,-0.01103179,-0.03584505,0.07912832,0.00395814,0.01915241,0.08433596,0.01428467,-0.0020872,0.00574517,0.00303709,0.0024361,0.00257097,-0.00048707,0.00375918,0.00294602,-0.00130572,-0.00069677,0.00039127,-0.00192767,0.04257143,0.00920401,0.00013392,-0.01456873,0.01819165,-0.00022944,0.00732028,-0.00174259,-0.00283943,-0.00019271,0.00039216,-0.00006359,-0.000174,0.00105557,-0.00004855,0.00032275,-0.00007985,0.00008098,-0.00171255,-0.00018467
"TripsAMPeak",16.10836937,1065.17213992,190.9121077,2478.8380446,15.78984487,-0.76371897,-2.04794173,-17.83094294,-47.4513685,0.90595763,406.48120121,-0.02433123,44.83243863,24.05992926,13.45797299,-3.82366466,12.72066154,0.36733753,158.75619231,0.08561714,17.65795681,-2.50115033,0.35184574,-0.46200028,0.25271794,-0.21257514,-0.56264205,-0.29606984,-0.332882,-0.34949253,-0.31921999,-0.30761509,-0.4171302,-0.16975446,-0.17057278,-0.06287958,-1.72326795,0.29426751,0.60674232,-0.09116352,-0.05768136,0.09169341,-0.07444571,-0.18957512,-0.01186381,0.01824481,-0.02050723,-0.00340466,-0.01618651,0.04760355,0.47098468,-0.03137042,-0.03322108,-0.08865225,-0.03742845,-0.05233303
"PercentTripsAMPeak_n",3.02669562,223.72701673,26.4481415,374.56177014,1.33108556,0.54440549,-0.14561859,18.90633345,23.55157925,2.3928369,59.89210771,-0.0060321,24.05992926,19.39919126,-2.63191252,-4.39965918,-1.02405553,-2.14221816,20.65160335,-1.58647799,5.74794261,2.7940794,-0.31881222,-0.42336382,0.30486682,-0.17703727,-0.32229397,-0.21180691,-0.28028452,-0.21874673,-0.20069194,-0.17169871,-0.3054457,-0.13246425,-0.13662643,-0.07262908,-0.57610693,0.37322354,0.63899674,-0.15466544,0.03936183,0.15201657,-0.11700962,-0.09284177,-0.07956369,0.00850633,-0.00434948,-0.00312806,-0.00944216,0.0240308,0.29206385,-0.01301702,-0.02647078,-0.09390595,-0.02825062,-0.04102744
"TripsPMPeak",20.54875464,1381.09985574,254.37991062,3623.8836739,24.72006312,-1.24156755,-0.30674131,-64.02402417,-118.25380743,-4.4362828,559.53687016,-0.00358267,13.45797299,-2.63191252,54.28763269,20.777056,30.83795062,10.80617205,212.36068919,1.20488089,20.95742292,-5.97885467,3.53435386,0.45636159,-0.37342424,-0.00692491,-0.2892113,-0.05700938,0.20962625,-0.10820956,-0.27627646,-0.22853211,-0.04703762,-0.02094932,0.01830704,0.1003699,-3.91416921,0.28222219,-0.24012104,0.19289181,-0.08079505,-0.19331395,0.20003862,-0.08594552,0.21758872,0.00027732,-0.01334578,0.00188545,0.01597347,0.0361804,0.66726159,-0.00532482,0.01590949,0.14196679,-0.04748632,0.03620311
"PercentTripsPMPeak_n",2.25176519,205.14632073,22.14593278,565.31952801,2.92347319,0.71835326,2.34683959,-5.48165875,-6.05967235,-1.41591883,70.91917849,0.01789043,-3.82366466,-4.39965918,20.777056,17.0486539,7.84586978,5.97373097,16.8724877,-1.69653721,4.53460831,1.98167321,2.27187611,0.27655906,-0.1986979,0.03413639,0.02322843,0.09416586,0.26655802,0.05827745,-0.16332055,-0.10488327,0.04206382,0.00262017,0.03124086,0.04706078,-1.7631285,0.62470132,0.26809613,0.054581,0.0364151,-0.08991766,0.14506994,0.02027378,0.03279239,-0.00590854,0.00625367,-0.00145603,0.01200057,0.00654069,0.39768236,0.0096025,0.01553363,0.08710903,-0.03565377,0.01476716
"TripsAtNight",17.9276018,1230.06143983,215.10031104,3497.70731401,19.9918764,-0.24787234,2.96842447,-29.67364111,-23.84741121,-5.28900507,535.7042542,-0.03439445,12.72066154,-1.02405553,30.83795062,7.84586978,57.2340162,29.1656963,187.24727784,3.73683512,25.83527814,3.23154585,3.67905124,1.03897234,-0.49052345,0.16260404,-0.11396507,0.12361961,0.31459039,0.11748208,0.06985431,0.00683068,0.17864726,0.04981898,0.09660902,0.17047365,-4.93699769,0.04578837,-0.40092257,0.67910531,-0.13832353,-0.00558297,-0.19588108,-0.25455555,0.39468881,0.02530588,0.005519,0.01195994,0.00816204,0.04110823,0.71490391,-0.03585661,0.02953925,0.10978117,0.01876218,0.14539575
"PercentTripsAtNight_n",4.77100658,380.50046503,45.58874921,1093.89480705,4.10939631,1.13278899,3.67070027,13.79588579,44.17345799,-1.47876861,153.99110223,-0.01103179,0.36733753,-2.14221816,10.80617205,5.97373097,29.1656963,20.89390498,39.97489334,-0.32822947,13.04362479,8.49236655,3.31069161,0.68708696,-0.21131009,0.09836167,-0.0264575,0.09886805,0.18625581,0.1364021,-0.01432886,-0.00460078,0.14003079,0.04138052,0.06240264,0.0632623,-2.81546457,0.48025059,0.1028573,0.38721091,-0.05077205,0.07478182,-0.13441498,-0.17772197,0.17375602,0.01340884,0.01593042,0.00719246,0.010525,0.01448029,0.49136856,-0.0208425,0.02351914,0.0748418,0.00657131,0.08588032
"TripsLt15Miles",167.97866285,6420.74404451,1985.73647944,22013.54981016,178.45286273,-44.347788,-50.81770896,-795.19517317,-1201.56917183,-78.71638107,4265.81067585,-0.03584505,158.75619231,20.65160335,212.36068919,16.8724877,187.24727784,39.97489334,1921.1143142,199.33304325,91.11088803,-106.07880461,-1.40084432,3.75008891,-1.43471373,1.3576388,-2.56646547,-0.89658455,-0.16534936,-1.41460376,-0.70473503,-1.00489353,-0.34536725,0.04880599,0.32938163,0.61371738,-9.94787327,-4.03351594,-4.65552176,1.64438389,-0.58383491,-0.26423749,0.54233183,-0.19911687,1.7167433,0.03386168,-0.08458773,0.01020416,-0.05741486,0.38379641,1.69732059,-0.18723476,0.05546427,0.40607108,-0.0143982,0.29267427
"PercentDistLt15Miles_n",4.63454322,-2972.91717523,17.52223965,-2810.47104778,-0.21121279,-27.81709856,-28.49521073,-313.88395839,-258.63387084,-56.75704451,101.19324954,0.07912832,0.08561714,-1.58647799,1.20488089,-1.69653721,3.73683512,-0.32822947,199.33304325,160.86896942,-42.96155778,-42.90850874,-12.96842655,2.45408308,-0.33856037,0.98580137,0.21228472,0.05133925,-0.08301648,-0.11611156,0.26786837,0.26024167,0.52001983,0.16678137,0.16855294,0.01879594,3.61419711,-0.71248354,-1.54207495,0.43617945,0.4971331,0.67696748,-0.10550725,0.57940031,0.41225257,-0.01771493,0.05089256,0.00435878,0.01606857,0.1030748,-0.24625027,-0.08976904,0.06925222,0.34611576,0.18596524,0.14764555
"TripsVgt60",18.08495243,2736.0753302,174.1763499,4115.43063836,16.01029918,13.7091007,13.38087831,151.24381238,99.17279424,31.76807383,530.78218923,0.00395814,17.65795681,5.74794261,20.95742292,4.53460831,25.83527814,13.04362479,91.11088803,-42.96155778,152.67884833,109.62347452,34.52155213,1.7163852,0.21401366,-0.09657356,-0.5404931,-0.39258313,-0.50518095,-0.52320048,-0.31932023,-0.53377063,-0.47814064,-0.12156591,-0.14948634,-0.1269089,-5.24387834,2.3015527,2.87293507,-0.1823314,-0.57100974,1.69360183,-0.01553487,-0.58297118,-0.16867385,0.00703558,0.09963339,0.02077934,0.00211377,0.06529119,0.75812906,-0.00632532,-0.02061,-0.20185911,-0.27705124,-0.01885737
"PercentTripsVgt60_n",-4.38712384,1138.33747665,-71.51957902,599.70099904,-6.25734047,14.75334502,15.29746363,204.26681971,216.38605339,31.97244934,-25.49329255,0.01915241,-2.50115033,2.7940794,-5.97885467,1.98167321,3.23154585,8.49236655,-106.07880461,-42.90850874,109.62347452,112.28438227,29.29134721,1.39521761,0.37836173,-0.09050647,-0.28833172,-0.32936601,-0.49199007,-0.31537273,-0.13498355,-0.29748584,-0.41051255,-0.09076344,-0.14179888,-0.17816325,-3.39849642,2.45989006,3.03383451,-0.22028116,-0.43967124,1.65411329,-0.12384308,-0.59830219,-0.24067192,0.00510848,0.10447058,0.00903238,0.01354571,0.03953865,0.5615073,0.03546796,-0.01904175,-0.19507995,-0.28415687,0.00940692
"SpeedingPer1000Miles",0.55359657,461.16342599,14.43870378,452.34887888,0.68711961,3.32702824,2.46431611,56.34170249,47.94759389,9.63123975,52.96879491,0.08433596,0.35184574,-0.31881222,3.53435386,2.27187611,3.67905124,3.31069161,-1.40084432,-12.96842655,34.52155213,29.29134721,61.90295542,1.88902685,-0.14324202,0.09318152,-0.07961191,0.01320573,-0.14356482,-0.16269455,-0.04957868,-0.13750722,-0.01768701,0.02311595,-0.09416731,-0.08338532,0.11195996,1.17004016,0.98970183,-0.33822084,-0.11943735,0.42690831,0.69090264,-0.30263671,-0.08854613,0.01125289,0.08733005,0.00181401,0.00657698,0.02978176,0.2241911,0.00604361,-0.01714144,0.02114325,-0.07681094,-0.02627972
"DecelerationPer1000Miles",0.17001705,-52.59575507,0.68629459,-34.71431064,-0.02456229,-0.47965425,-0.41112842,-4.98092938,-0.36817429,-1.15227047,8.49617482,0.01428467,-0.46200028,-0.42336382,0.45636159,0.27655906,1.03897234,0.68708696,3.75008891,2.45408308,1.7163852,1.39521761,1.88902685,1.84355735,-0.06669396,0.09024841,0.03068965,0.03816172,0.00586673,0.05890613,0.0553733,0.05891523,0.08974473,0.02686821,0.02522794,-0.00191557,0.31389807,0.02635218,-0.00396882,-0.01500971,0.03342818,0.07280138,0.02135802,0.01392835,0.01487985,0.00208735,0.0094294,0.00334678,0.01278993,0.01034807,0.01964732,-0.00062736,0.0045772,0.01238639,0.01984519,0.0065502
"LIFESATISFACTION",-0.13613879,1.91954086,-1.26665647,-33.68294115,-0.35527002,0.09831909,-0.09321104,3.74355313,4.80625817,0.55463867,-3.67257999,-0.0020872,0.25271794,0.30486682,-0.37342424,-0.1986979,-0.49052345,-0.21131009,-1.43471373,-0.33856037,0.21401366,0.37836173,-0.14324202,-0.06669396,0.37593531,-0.08738455,-0.14109618,-0.1858339,-0.1606372,-0.16374961,-0.1434509,-0.1610943,-0.17351936,-0.09112608,-0.08866836,-0.11189884,0.10379592,0.11060193,0.24298089,-0.01578889,0.00241854,0.01490067,-0.00481162,-0.00886383,-0.01474377,-0.00098894,0.0017318,-0.00065794,-0.00097309,0.001929,-0.01015351,-0.00165648,-0.0017526,-0.03289479,-0.00873214,-0.00732462
"cog",0.07034121,-23.96238601,0.12830048,-7.7170484,0.05604335,-0.22104427,-0.08965458,-3.63636679,-2.34723162,-0.7409739,5.56297824,0.00574517,-0.21257514,-0.17703727,-0.00692491,0.03413639,0.16260404,0.09836167,1.3576388,0.98580137,-0.09657356,-0.09050647,0.09318152,0.09024841,-0.08738455,0.35254903,0.06326478,0.14040707,0.11308973,0.087968,0.06045006,0.06574646,0.06737197,0.06661743,0.06734232,0.0776916,0.11944602,-0.04396131,-0.05265881,0.0148694,0.01922601,0.00406694,0.02864773,0.02053318,0.01346549,0.00051016,0.00196461,0.00173649,0.00021606,0.00224498,-0.01199786,-0.00037382,0.00100759,0.00504236,-0.00145541,0.00156667
"phys",-0.31103566,-23.90884697,-3.32515163,-23.72933975,-0.16269711,-0.06877516,0.1765492,-1.64503083,0.45475166,-0.56592315,-5.68637843,0.00303709,-0.56264205,-0.32229397,-0.2892113,0.02322843,-0.11396507,-0.0264575,-2.56646547,0.21228472,-0.5404931,-0.28833172,-0.07961191,0.03068965,-0.14109618,0.06326478,0.41561079,0.19131799,0.15995297,0.07752386,0.04338692,0.0594543,0.06241461,0.05276273,0.04986014,0.05500199,0.26402461,-0.11034553,-0.13817122,0.00059597,0.00171562,-0.00898993,0.00363307,0.03616941,0.00357931,0.00021301,-0.00253979,0.00066842,0.00021151,0.00023905,-0.03074243,-0.00104687,0.00007429,0.01794448,0.01232418,0.0001878
"fati",-0.0691815,-11.34446494,-1.13885454,-13.76238321,0.01793805,-0.05802417,0.01331228,-2.18093076,-2.94052601,-0.28124472,-3.5202128,0.0024361,-0.29606984,-0.21180691,-0.05700938,0.09416586,0.12361961,0.09886805,-0.89658455,0.05133925,-0.39258313,-0.32936601,0.01320573,0.03816172,-0.1858339,0.14040707,0.19131799,0.55095399,0.20588199,0.15962055,0.06526506,0.09845796,0.10195025,0.11461694,0.120871,0.15500496,-0.03017722,-0.02928798,-0.08824886,-0.0050785,0.00161466,-0.01095546,0.01089766,0.02383755,0.00096745,0.00035591,-0.00463461,0.00130178,-0.00032507,-0.001437,-0.00798109,0.0011439,-0.00180072,0.01266974,-0.0027733,0.00088682
"socialrole",-0.04800339,-2.21423506,-0.06997694,11.39525662,0.11997281,-0.05008821,0.05680428,-2.01473343,-1.81944065,-0.33254508,-0.41750109,0.00257097,-0.332882,-0.28028452,0.20962625,0.26655802,0.31459039,0.18625581,-0.16534936,-0.08301648,-0.50518095,-0.49199007,-0.14356482,0.00586673,-0.1606372,0.11308973,0.15995297,0.20588199,0.3987135,0.18186991,0.07812117,0.1008685,0.10366992,0.08715687,0.0961229,0.1353053,0.04400918,-0.04374763,-0.07110644,0.00676424,0.00492446,-0.02163146,0.00566474,0.00733909,-0.0017382,-0.00040599,-0.00258411,0.00035892,0.00054693,-0.00162397,-0.00174421,0.00240837,0.00125032,0.00131096,0.00195847,-0.00085827
"iso",-0.0743638,-7.81722986,-1.56518378,-19.07950985,-0.08199906,-0.00399857,-0.01511842,-0.24882026,-0.72204956,-0.04118181,-3.86362539,-0.00048707,-0.34949253,-0.21874673,-0.10820956,0.05827745,0.11748208,0.1364021,-1.41460376,-0.11611156,-0.52320048,-0.31537273,-0.16269455,0.05890613,-0.16374961,0.087968,0.07752386,0.15962055,0.18186991,0.39047788,0.15743967,0.18781357,0.17327308,0.10058624,0.10049124,0.14300441,-0.14042058,0.02230113,-0.09912619,0.00244773,0.0039381,-0.01756887,-0.00312679,0.00095973,-0.00427807,-0.00122933,0.00029606,0.00091782,0.00065886,0.00008881,0.0001992,0.00044243,0.00055544,0.01198129,0.00652814,0.0034019
"info",-0.11013546,-18.6352409,-1.06081245,-24.08311339,0.07790921,-0.10359661,-0.05767438,-2.17072654,-2.89160152,-0.36327812,-3.28156911,0.00375918,-0.31921999,-0.20069194,-0.27627646,-0.16332055,0.06985431,-0.01432886,-0.70473503,0.26786837,-0.31932023,-0.13498355,-0.04957868,0.0553733,-0.1434509,0.06045006,0.04338692,0.06526506,0.07812117,0.15743967,0.61300276,0.38914804,0.27885405,0.04805568,0.03219483,0.05202746,0.13316472,-0.09677625,-0.10558969,0.02318741,-0.00449659,-0.00760468,0.00352902,-0.05031555,0.01104982,-0.00052619,0.00876382,0.00111615,0.00274725,0.00729451,-0.00554313,-0.00004136,0.00057047,0.01207144,0.00246254,0.00985338
"emo",-0.11278966,-23.9267769,-1.34499884,-35.08040314,-0.01624647,-0.14929233,-0.14730562,-2.21026896,-2.4177969,-0.39406696,-4.52766969,0.00294602,-0.30761509,-0.17169871,-0.22853211,-0.10488327,0.00683068,-0.00460078,-1.00489353,0.26024167,-0.53377063,-0.29748584,-0.13750722,0.05891523,-0.1610943,0.06574646,0.0594543,0.09845796,0.1008685,0.18781357,0.38914804,0.48755642,0.30724184,0.06390447,0.05058891,0.07242342,0.10517806,-0.02383821,-0.09669979,0.00727932,0.0037258,-0.00206936,0.00140653,-0.01353899,0.0010765,-0.00074721,0.00385877,0.0004948,0.00269563,0.00457142,-0.00048604,-0.00163491,0.00178966,0.02324475,0.00851458,0.00967346
"ins",0.00235449,-25.96473986,-0.87366277,-30.29306758,0.11206485,-0.19664167,-0.16892693,-3.84025387,-4.98271027,-0.53628041,-2.41836771,-0.00130572,-0.4171302,-0.3054457,-0.04703762,0.04206382,0.17864726,0.14003079,-0.34536725,0.52001983,-0.47814064,-0.41051255,-0.01768701,0.08974473,-0.17351936,0.06737197,0.06241461,0.10195025,0.10366992,0.17327308,0.27885405,0.30724184,0.60778467,0.0545817,0.04450653,0.05192813,-0.05219902,-0.05029217,-0.19833434,0.01070188,0.00223288,-0.0078828,0.00905946,0.02746961,0.00547114,0.00101765,0.00192863,-0.00010417,0.00203706,0.00447927,0.00348791,-0.0023706,0.00469187,0.05855409,0.03026941,0.02868383
"dep",0.00011117,-9.0521166,-0.23327651,-10.98683229,0.01699849,-0.0589608,-0.04446713,-1.30883898,-2.10980675,-0.17634363,-0.63259935,-0.00069677,-0.16975446,-0.13246425,-0.02094932,0.00262017,0.04981898,0.04138052,0.04880599,0.16678137,-0.12156591,-0.09076344,0.02311595,0.02686821,-0.09112608,0.06661743,0.05276273,0.11461694,0.08715687,0.10058624,0.04805568,0.06390447,0.0545817,0.14097994,0.10234316,0.09169915,-0.0414022,-0.01864219,-0.05511981,0.00036184,0.00044251,-0.00030817,-0.00043049,0.00875405,0.00188769,-0.00089011,0.00025784,0.00027011,-0.00119924,-0.00110847,-0.00573869,0.00086119,0.00012716,0.00517457,0.00096953,0.00068624
