"","DaysDriving","Miles_n","Trips","TripMinutes_n","TripChains","MilesPerTrip_n","MinutesPerTrip_n","MilesPerChain_n","MinutesPerChain_n","Average_speed","LeftTurnCount","RightToLeftTurnRatio_n","TripsAMPeak","PercentTripsAMPeak_n","TripsPMPeak","PercentTripsPMPeak_n","TripsAtNight","PercentTripsAtNight_n","TripsLt15Miles","PercentDistLt15Miles_n","TripsVgt60","PercentTripsVgt60_n","SpeedingPer1000Miles","DecelerationPer1000Miles","LIFESATISFACTION","cog","phys","fati","socialrole","iso","info","emo","ins","dep","anx","ang","Age","EDUCATION","INCOME","Site_JHSPH","Site_UCDENVER","Site_UCSD","Site_UMTRI","GENDER_Female","RACE_Black","RACE_American_Indian","RACE_Asian","RACE_Alaska_Native_Native_Hawaiian_Pacific_Islander","RACE_Other_Non_Hispanic","RACE_Hispanic","WORK_Working","MARRIAGE_Living_with_a_partner","MARRIAGE_Separated","MARRIAGE_Divorced","MARRIAGE_Widowed","MARRIAGE_Never_married"
"DaysDriving",25.20977278,1133.8327538,196.82363946,2753.04138957,16.15067229,-0.62647233,-0.67255805,-13.90476359,-24.44097123,-0.7172915,452.59231989,-0.00619156,16.10836937,3.02669562,20.54875464,2.25176519,17.9276018,4.77100658,167.97866285,4.63454322,18.08495243,-4.38712384,0.55359657,0.17001705,-0.13613879,0.07034121,-0.31103566,-0.0691815,-0.04800339,-0.0743638,-0.11013546,-0.11278966,0.00235449,0.00011117,0.00162612,0.04978694,-1.24111648,-0.33174881,-0.42998641,0.13608836,-0.11816559,-0.10988216,0.12291062,-0.00591204,0.08426974,0.00516742,-0.02187421,-0.000442,-0.02585361,0.02342588,0.27672889,-0.01988513,0.00074412,0.03716727,0.01422498,0.04662033
"Miles_n",1133.8327538,174880.44635266,12196.58221263,289925.71811446,1171.39508013,800.1296752,941.49329017,7648.54738488,4979.15818844,1547.7548897,30151.97475343,-3.58761394,1065.17213992,223.72701673,1381.09985574,205.14632073,1230.06143983,380.50046503,6420.74404451,-2972.91717523,2736.0753302,1138.33747665,461.16342599,-52.59575507,1.91954086,-23.96238601,-23.90884697,-11.34446494,-2.21423506,-7.81722986,-18.6352409,-23.9267769,-25.96473986,-9.0521166,-7.78766721,1.25758101,-232.89471485,5.88747886,22.17096206,4.37132264,-18.72671337,-28.74403888,12.57726093,-21.48104804,-1.17417849,0.05207319,-2.33919917,0.16311716,-1.60173889,-0.06539971,26.4120795,0.33473051,-1.2662499,-8.19020351,-7.41413631,-4.20334199
"Trips",196.82363946,12196.58221263,2370.02401427,30648.4987421,214.34199895,-16.17055102,-23.66995865,-529.6863036,-1077.95680662,-17.35602524,4943.88031287,-0.18528901,190.9121077,26.4481415,254.37991062,22.14593278,215.10031104,45.58874921,1985.73647944,17.52223965,174.1763499,-71.51957902,14.43870378,0.68629459,-1.26665647,0.12830048,-3.32515163,-1.13885454,-0.06997694,-1.56518378,-1.06081245,-1.34499884,-0.87366277,-0.23327651,0.07281598,0.67467049,-16.67303983,-3.19455153,-3.39574495,1.17639123,-1.28658098,-1.15570572,0.71239663,-1.1287446,1.3660955,0.06715424,-0.16362103,0.01139736,-0.11138982,0.28188263,2.26354905,-0.07865904,-0.0462541,0.04446011,-0.3396569,0.09135079
"TripMinutes_n",2753.04138957,289925.71811446,30648.4987421,650226.18000644,2992.67715531,832.18562534,1629.58836129,4520.71799063,5320.30459935,657.10343969,81250.25912147,-4.58464673,2478.8380446,374.56177014,3623.8836739,565.31952801,3497.70731401,1093.89480705,22013.54981016,-2810.47104778,4115.43063836,599.70099904,452.34887888,-34.71431064,-33.68294115,-7.7170484,-23.72933975,-13.76238321,11.39525662,-19.07950985,-24.08311339,-35.08040314,-30.29306758,-10.98683229,-6.71404543,6.91572304,-432.93750955,-74.17363379,-27.4004484,55.99232429,-12.7776147,-50.67622631,6.50609695,-19.24434932,38.94108819,3.75953681,-3.91923009,0.34838217,-2.97123987,3.02314514,52.44648382,-0.03516395,0.68561602,-0.91983209,-6.66901509,-1.8061984
"TripChains",16.15067229,1171.39508013,214.34199895,2992.67715531,29.41740045,-0.90123088,-0.58410948,-139.54705964,-306.7040094,-1.87129762,470.04424678,-0.05247296,15.78984487,1.33108556,24.72006312,2.92347319,19.9918764,4.10939631,178.45286273,-0.21121279,16.01029918,-6.25734047,0.68711961,-0.02456229,-0.35527002,0.05604335,-0.16269711,0.01793805,0.11997281,-0.08199906,0.07790921,-0.01624647,0.11206485,0.01699849,0.03333178,0.06813418,-2.4250806,-1.03345218,-0.96916828,0.26927727,-0.18049623,-0.20171131,0.02052546,0.03538112,0.25508993,0.00824751,-0.01280563,0.00141484,0.00921409,0.04137004,0.30005759,0.02185882,0.01772164,0.11521502,0.01832696,0.01952273
"MilesPerTrip_n",-0.62647233,800.1296752,-16.17055102,832.18562534,-0.90123088,8.25605788,9.8737102,97.70228433,101.40990196,14.98931317,-0.16884066,-0.02186568,-0.76371897,0.54440549,-1.24156755,0.71835326,-0.24787234,1.13278899,-44.347788,-27.81709856,13.7091007,14.75334502,3.32702824,-0.47965425,0.09831909,-0.22104427,-0.06877516,-0.05802417,-0.05008821,-0.00399857,-0.10359661,-0.14929233,-0.19664167,-0.0589608,-0.06511483,-0.0321425,-1.24808732,0.13108227,0.336143,-0.01008495,-0.11370569,-0.19637052,0.07600087,-0.15380444,-0.0724565,0.00110823,-0.01012937,0.00013456,-0.00924546,-0.01457932,0.13469735,0.0135207,-0.00544674,-0.07296266,-0.05371361,-0.03121708
"MinutesPerTrip_n",-0.67255805,941.49329017,-23.66995865,1629.58836129,-0.58410948,9.8737102,17.77774984,113.94146202,187.36437999,9.31124889,71.50777753,-0.01498955,-2.04794173,-0.14561859,-0.30674131,2.34683959,2.96842447,3.67070027,-50.81770896,-28.49521073,13.38087831,15.29746363,2.46431611,-0.41112842,-0.09321104,-0.08965458,0.1765492,0.01331228,0.05680428,-0.01511842,-0.05767438,-0.14730562,-0.16892693,-0.04446713,-0.05579911,-0.02736424,-1.68613028,-0.21774669,0.16974683,0.32653448,0.03437402,-0.31662987,-0.0202387,-0.07363397,0.14082755,0.02072105,-0.00971361,0.00016642,-0.01652485,-0.00828874,0.20979531,0.01714766,0.0174476,-0.02784749,-0.03641891,-0.01863731
"MilesPerChain_n",-13.90476359,7648.54738488,-529.6863036,4520.71799063,-139.54705964,97.70228433,113.94146202,2837.03830843,4727.23677008,189.1289155,-879.31575455,0.14294948,-17.83094294,18.90633345,-64.02402417,-5.48165875,-29.67364111,13.79588579,-795.19517317,-313.88395839,151.24381238,204.26681971,56.34170249,-4.98092938,3.74355313,-3.63636679,-1.64503083,-2.18093076,-2.01473343,-0.24882026,-2.17072654,-2.21026896,-3.84025387,-1.30883898,-1.22997129,-0.35431089,-1.83582275,9.35417409,11.74670244,-1.56890199,-0.70764458,-0.90302822,1.37658262,-3.79819435,-2.10947066,0.114043,-0.2181252,0.06418827,-0.25274099,-0.33408909,0.72695905,-0.17614178,-0.22335023,-2.13647884,-0.82964789,-0.47113484
"MinutesPerChain_n",-24.44097123,4979.15818844,-1077.95680662,5320.30459935,-306.7040094,101.40990196,187.36437999,4727.23677008,10498.1731532,89.2293357,-1207.06032747,0.86011219,-47.4513685,23.55157925,-118.25380743,-6.05967235,-23.84741121,44.17345799,-1201.56917183,-258.63387084,99.17279424,216.38605339,47.94759389,-0.36817429,4.80625817,-2.34723162,0.45475166,-2.94052601,-1.81944065,-0.72204956,-2.89160152,-2.4177969,-4.98271027,-2.10980675,-1.78495098,-0.39651382,14.2222815,17.86418622,21.21418175,0.58967002,2.95983476,0.065179,-0.0036169,-4.81388159,-1.20691633,0.32986718,-0.32122334,0.15832436,-0.50437045,-0.3842174,-0.38859254,-0.54008096,-0.20702203,-3.05566844,-1.20891547,-0.21482989
"Average_speed",-0.7172915,1547.7548897,-17.35602524,657.10343969,-1.87129762,14.98931317,9.31124889,189.1289155,89.2293357,43.87288132,-101.21212893,-0.06967505,0.90595763,2.3928369,-4.4362828,-1.41591883,-5.28900507,-1.47876861,-78.71638107,-56.75704451,31.76807383,31.97244934,9.63123975,-1.15227047,0.55463867,-0.7409739,-0.56592315,-0.28124472,-0.33254508,-0.04118181,-0.36327812,-0.39406696,-0.53628041,-0.17634363,-0.15332615,-0.12564029,-1.8806111,0.70648972,0.90574719,-0.5469749,-0.4987844,-0.25801707,0.25918237,-0.47854497,-0.47421118,-0.02361673,-0.03420611,-0.00037808,-0.01908173,-0.04333789,0.16659068,0.0130719,-0.04270532,-0.23586951,-0.14585662,-0.09860639
