"","DaysDriving","Miles_n","Trips","TripMinutes_n","TripChains","MilesPerTrip_n","MinutesPerTrip_n","MilesPerChain_n","MinutesPerChain_n","Average_speed","LeftTurnCount","RightToLeftTurnRatio_n","TripsAMPeak","PercentTripsAMPeak_n","TripsPMPeak","PercentTripsPMPeak_n","TripsAtNight","PercentTripsAtNight_n","TripsLt15Miles","PercentDistLt15Miles_n","TripsVgt60","PercentTripsVgt60_n","SpeedingPer1000Miles","DecelerationPer1000Miles","LIFESATISFACTION","cog","phys","fati","socialrole","iso","info","emo","ins","dep","anx","ang","Age","EDUCATION","INCOME","Site_JHSPH","Site_UCDENVER","Site_UCSD","Site_UMTRI","GENDER_Female","RACE_Black","RACE_American_Indian","RACE_Asian","RACE_Alaska_Native_Native_Hawaiian_Pacific_Islander","RACE_Other_Non_Hispanic","RACE_Hispanic","WORK_Working","MARRIAGE_Living_with_a_partner","MARRIAGE_Separated","MARRIAGE_Divorced","MARRIAGE_Widowed","MARRIAGE_Never_married"
"PercentTripsAMPeak_n",2.63368508,182.13373504,23.37775821,313.96749325,1.06778149,0.52308025,-0.12555236,18.10305934,22.08468486,2.36096948,49.94888216,-0.00754105,23.26204602,19.79738135,-3.34317655,-4.99871706,-1.8032313,-2.42625972,18.2776459,-1.44979635,5.02693021,2.77477925,-0.78774491,-0.39726908,0.29882484,-0.13047519,-0.34508009,-0.19688031,-0.21485694,-0.16238806,-0.02488588,-0.07486413,-0.31231818,-0.04918357,-0.02817793,-0.01685375,-0.58312412,0.30858387,0.64495201,-0.15634702,0.0453752,0.17678682,-0.13905152,-0.0966233,-0.06764549,0.01362761,-0.01092235,0.00283324,0.00638622,0.01417392,0.25088619,-0.01162593,-0.01517309,-0.11196512,-0.04595743,-0.02011693
"TripsPMPeak",19.25375393,1261.44324897,232.95384275,3312.255138,22.55720292,-0.96753194,0.18881139,-64.14399413,-119.06670696,-3.7006042,522.05275785,-0.01252251,11.62841924,-3.34317655,45.99663844,19.36578599,25.9228074,9.28542447,195.88452743,0.90924215,18.79858514,-5.12866738,3.48949715,0.27789017,-0.42302615,-0.09766243,-0.16976647,0.09712589,0.12707508,-0.02895875,-0.01724995,-0.06272532,0.19988441,-0.04084487,0.0273096,0.06122241,-2.77672834,0.08880465,-0.23196196,0.18509326,-0.12218587,-0.21383053,0.1782137,-0.13925896,0.22862774,0.00752045,-0.01546319,-0.00808475,0.0066203,0.02008658,0.53119615,-0.01451847,0.00676486,0.11423803,0.01672377,0.01605047
"PercentTripsPMPeak_n",1.854492,166.30841692,17.20469635,504.64751669,2.62337184,0.53762155,2.29186075,-9.68236276,-10.42769779,-1.8678463,64.96208806,0.0131494,-4.36852522,-4.99871706,19.36578599,16.921023,6.80096134,5.53391038,13.69420468,-1.12751053,3.38543462,1.45715206,1.89168876,0.26027565,-0.25638896,0.02261397,0.04450291,0.1296352,0.21191814,0.0602472,0.04873188,0.05901299,0.18627097,-0.02248081,-0.00234016,0.02679331,-1.59051751,0.47308624,0.15481548,0.09275942,0.0100891,-0.11836941,0.11836391,0.00319925,0.05508462,-0.00240177,0.00844887,-0.00351782,0.01000929,-0.00445496,0.35072333,-0.00454325,0.01460382,0.08758341,-0.00432167,0.00026917
"TripsAtNight",15.52508594,1121.60694616,191.70408601,3145.34458917,17.4135642,-0.1196002,2.67779535,-26.65987595,-24.88355889,-4.23744837,491.16810346,-0.04348815,10.31046668,-1.8032313,25.9228074,6.80096134,50.80276807,27.18928784,165.16655187,1.96047115,23.61960631,3.09832319,4.95002965,1.00113958,-0.38947539,0.02359038,-0.19797543,0.06606903,-0.05325931,-0.05975542,-0.11252771,-0.07426946,0.14458054,0.02175164,0.07526983,0.0850013,-4.13456836,0.15587928,-0.33411203,0.57629363,-0.10294515,-0.02002999,-0.10267737,-0.33608595,0.32762364,0.01599999,-0.00044823,-0.00245434,0.00334938,0.04081458,0.57380173,-0.02764298,0.01606846,0.18684489,-0.00032783,0.13883692
"PercentTripsAtNight_n",3.81512412,357.75355765,40.83098428,1016.54099534,3.55656754,0.97798746,3.29727814,9.69001288,36.71100089,-1.53691808,144.25347583,-0.0163448,-0.17809907,-2.42625972,9.28542447,5.53391038,27.18928784,20.18987328,34.77355063,-1.03475772,11.59053333,7.02390203,3.97951494,0.67960637,-0.15903354,0.02998894,-0.11936848,0.01758613,0.00606541,-0.04010504,-0.08297183,-0.01016667,0.05998242,-0.00032493,0.01904541,0.03436595,-2.36843175,0.45676981,0.10150762,0.34366341,-0.03022854,0.05813389,-0.08068992,-0.21362179,0.13350444,0.00552808,0.01643581,-0.00209367,0.01711179,0.00545971,0.40126313,-0.01134493,0.01891231,0.13648874,-0.00578368,0.07402559
"TripsLt15Miles",166.56438141,6507.69841951,1941.68602103,21454.26348846,173.37299044,-41.54383993,-49.38420657,-773.66548166,-1190.74868212,-69.82957869,4215.40992945,-0.12441648,155.96668883,18.2776459,195.88452743,13.69420468,165.16655187,34.77355063,1878.9770973,192.63800769,97.9934541,-96.51533886,-0.77809954,3.04491507,-1.5625349,0.33282761,-2.2776523,-0.56939339,-0.86342411,-0.54369034,-0.30023542,-0.74449937,0.41257841,0.15910151,0.5951016,0.55021989,-3.03624198,-3.33943439,-4.23756417,1.11898305,-0.73978015,-0.17661775,0.71514154,-0.37897329,1.48973332,0.05089433,-0.14537831,-0.03669187,-0.0665742,0.33695712,1.28481874,-0.14515976,-0.0163313,0.46477841,0.37136172,0.32703755
"PercentDistLt15Miles_n",5.02930087,-2819.27672549,20.98367941,-2674.795661,0.37512478,-27.02255885,-27.93881266,-316.98194452,-271.80456215,-55.12981317,113.67563798,0.04559483,0.86762363,-1.44979635,0.90924215,-1.12751053,1.96047115,-1.03475772,192.63800769,156.66639295,-39.76659736,-41.33983836,-16.29736312,2.65799855,-0.43542817,1.18585626,0.23132759,0.0931028,-0.03225879,0.14817456,0.22101701,0.25606011,0.53911788,0.34420837,0.27658063,0.10447353,3.23903106,-0.34411619,-1.45459694,0.33261922,0.39215211,0.72138697,-0.02691675,0.6208117,0.35604453,-0.04068074,0.05817382,-0.00203267,0.03220463,0.11029603,-0.29486522,-0.09255055,0.0760687,0.33046455,0.14532775,0.21269639
"TripsVgt60",17.20079195,2562.83009953,172.76149022,4004.69922819,16.77009917,12.64732806,12.63677602,129.15871688,76.94892452,29.37208228,543.08096789,0.02261703,17.32318787,5.02693021,18.79858514,3.38543462,23.61960631,11.59053333,97.9934541,-39.76659736,142.01504144,102.65699871,38.40033823,1.40766449,0.31805164,-0.20611673,-0.48348041,-0.20115384,-0.47433426,-0.58782906,-0.67688702,-0.66967159,-0.67438271,-0.28623139,-0.29062826,-0.2166455,-4.541355,2.09041241,2.74297918,-0.14100805,-0.62003328,1.62863205,0.09706758,-0.56276669,-0.18809194,0.01571532,0.07582186,0.01528277,-0.00429833,0.02912556,0.69073303,0.02144372,-0.02889315,-0.1110989,-0.20833252,-0.05141051
"PercentTripsVgt60_n",-4.64854185,1076.79133426,-64.1850769,674.53869654,-4.52372174,14.02956718,14.82858983,188.10320593,195.81835757,30.27221768,-0.84411892,0.05077039,-1.94037341,2.77477925,-5.12866738,1.45715206,3.09832319,7.02390203,-96.51533886,-41.33983836,102.65699871,106.82911922,33.38213899,1.42462059,0.50093046,-0.11073973,-0.28245689,-0.27023798,-0.36082302,-0.50104358,-0.52054662,-0.50435766,-0.67873352,-0.26095203,-0.28661545,-0.2661323,-3.68612866,2.4466153,2.99900006,-0.15381533,-0.45829573,1.61694863,-0.06676186,-0.53327962,-0.25211929,-0.00121132,0.11404743,0.01085439,0.02004663,0.01767934,0.52749304,0.05392937,-0.02457103,-0.10057441,-0.28197983,-0.03771896
"SpeedingPer1000Miles",0.28986242,571.46207544,17.81846509,556.18008957,0.74495234,4.21764389,2.87667759,55.37107351,42.78046418,11.77662279,77.35095785,0.08026674,0.54503147,-0.78774491,3.48949715,1.89168876,4.95002965,3.97951494,-0.77809954,-16.29736312,38.40033823,33.38213899,79.02308471,2.22401144,-0.04348372,0.11844621,-0.08048957,0.06541889,-0.12952388,-0.22613443,-0.02135637,0.02038873,-0.04483518,0.01936824,-0.12228224,-0.08383036,0.55201202,1.45326552,1.41388295,-0.42480887,-0.13544351,0.56414708,0.76495728,-0.37395283,-0.11860219,0.01253426,0.07025367,0.00427037,0.00579324,0.01738108,0.25733177,0.03361824,-0.02376242,0.01225038,-0.10524501,-0.06980396
"DecelerationPer1000Miles",0.03868065,-58.59010459,-0.22770989,-29.77680214,-0.03322388,-0.49264285,-0.27643678,-5.89031918,-1.59639645,-1.30283113,10.04759384,0.01167193,-0.36479129,-0.39726908,0.27789017,0.26027565,1.00113958,0.67960637,3.04491507,2.65799855,1.40766449,1.42462059,2.22401144,2.01163114,-0.06519695,0.06570928,0.04516969,0.01909917,-0.00751919,0.0183842,0.05138238,0.05252592,0.07294409,0.02109299,0.00099013,-0.02334107,0.1528892,0.0321502,0.0241752,0.01250887,0.05032707,0.07918411,-0.01739677,0.01589702,0.01658317,0.00272393,0.00732419,0.00228935,0.00696768,0.01286507,0.01130885,-0.00046102,0.00584869,0.0180222,0.02368554,0.00640492
"LIFESATISFACTION",-0.19465995,1.12925404,-1.36687273,-32.24556852,-0.30781911,0.10207997,-0.07983079,4.14104545,5.19284989,0.50326148,-3.48078919,0.0019857,0.23987277,0.29882484,-0.42302615,-0.25638896,-0.38947539,-0.15903354,-1.5625349,-0.43542817,0.31805164,0.50093046,-0.04348372,-0.06519695,0.3833877,-0.10504305,-0.13962395,-0.1828741,-0.17196175,-0.16998002,-0.15315337,-0.16388683,-0.17114621,-0.10554672,-0.09578258,-0.1299119,0.12308236,0.13274427,0.24050989,-0.01801988,0.00963417,0.01922212,-0.00847244,-0.01488335,-0.01823798,-0.00029677,0.00028403,0.00043733,-0.00127655,0.00133245,-0.00953479,0.00001775,-0.00328686,-0.03009167,-0.01582021,-0.00700262
