"variable","mean","sd","n"
"DaysDriving",22.2122818291411,5.0082596497874,2303
"Miles_n",751.600530458025,411.035430114218,2303
"Trips",114.426295001175,47.9074308536154,2303
"TripMinutes_n",1673.85273187122,794.613151189105,2303
"TripChains",9.42977332331288,5.30087500353183,2303
"MilesPerTrip_n",6.61415385033029,2.87193745636206,2303
"MinutesPerTrip_n",14.7970413583045,4.25471956837471,2303
"MilesPerChain_n",98.9163164404003,53.9875589359803,2303
"MinutesPerChain_n",221.929549639349,103.315392364352,2303
"Average_speed",26.0971014108007,6.55725088244015,2303
"LeftTurnCount",258.670843278611,120.900581084648,2303
"RightToLeftTurnRatio_n",0.932706428645552,0.138099591535362,2303
"TripsAMPeak",8.19418864173006,6.49171495878257,2303
"PercentTripsAMPeak_n",6.93965491655011,4.44942483341243,2303
"TripsPMPeak",10.9431731033382,6.78208216090143,2303
"PercentTripsPMPeak_n",9.23022540852535,4.11351710831261,2303
"TripsAtNight",7.65731543515444,7.12760605452183,2303
"PercentTripsAtNight_n",6.25636399885608,4.49331428694108,2303
"TripsLt15Miles",94.1686737286895,43.3471694266443,2303
"PercentDistLt15Miles_n",82.6573337616137,12.5166446361043,2303
"TripsVgt60",13.7655133426976,11.9170063961035,2303
"PercentTripsVgt60_n",12.5942744614348,10.3358172980345,2303
"SpeedingPer1000Miles",4.60900104548844,8.88949293869136,2303
"DecelerationPer1000Miles",1.21218023367664,1.41831982853249,2303
"LIFESATISFACTION",3.96554494138081,0.619183092853388,2303
"cog",1.54808944854538,0.637607112200037,2303
"phys",1.41380807642206,0.649973568656547,2303
"fati",1.88341293964394,0.757010781511799,2303
"socialrole",1.55254016500217,0.643382622529179,2303
"iso",1.60877116804168,0.627612808751345,2303
"info",1.70940078158923,0.795452696676087,2303
"emo",1.55775075987842,0.711377119494872,2303
"ins",1.53571428571429,0.792558789790172,2303
"dep",1.19604863221885,0.420406407646749,2303
"anx",1.24522362136344,0.431604637274696,2303
"ang",1.66947459834998,0.593449642311833,2303
"Age",70.9557099435519,4.04704536678306,2303
"EDUCATION",7.57186278766825,1.71666547701222,2303
"INCOME",3.56274424663483,1.25135607699571,2303
"Site_JHSPH",0.200607902735567,0.400542176504619,2303
"Site_UCDENVER",0.184976118106817,0.388362517107927,2303
"Site_UCSD",0.199739470256185,0.399891299132277,2303
"Site_UMTRI",0.217976552323058,0.412961045159485,2303
"GENDER_Female",0.531046461137647,0.499143566273075,2303
"RACE_Black",0.0707772470690414,0.256508086092813,2303
"RACE_American_Indian",0.00651324359531048,0.0804588852111037,2303
"RACE_Asian",0.0208423795049935,0.142887508359109,2303
"RACE_Alaska_Native_Native_Hawaiian_Pacific_Islander",0.0026052974381242,0.0509866518680174,2303
"RACE_Other_Non_Hispanic",0.0108554059921841,0.103644732639472,2303
"RACE_Hispanic",0.0260529743812419,0.159327460252186,2303
"WORK_Working",0.310030395136778,0.46260617532179,2303
"MARRIAGE_Living_with_a_partner",0.0351715154146765,0.184253144400007,2303
"MARRIAGE_Separated",0.0130264871906209,0.113412445867372,2303
"MARRIAGE_Divorced",0.140251845419018,0.347323547091013,2303
"MARRIAGE_Widowed",0.122014763352149,0.327373941290631,2303
"MARRIAGE_Never_married",0.0438558402084238,0.204818752003906,2303
