subject,sq_err_full,sq_err_driving,sq_err_demo,sq_err_baseline
1010,0.031230796798863848,0.03429189218772266,0.025207190508794764,0.03075069749287257
1016,0.5160912254999671,0.5820672000111131,0.5922921695575737,0.6800331616160786
1018,0.01297664209790021,0.02001796731252591,0.018283603781075495,0.03075069749287257
1026,0.04152474425846419,0.03311163714073127,0.038751841014295345,0.03075069749287257
1030,0.05944125133300351,0.041839559913443965,0.05249135676355027,0.03075069749287257
1033,0.08789801312400425,0.10875002779760207,0.08048383766528294,0.10539192955447557
1037,0.09846315872456084,0.09756884275458665,0.10261104710819821,0.10539192955447557
1042,0.04047598474759539,0.03075069749287257,0.04356213515857436,0.03075069749287257
1045,0.013095376761758159,0.027160257879273862,0.014396176131628195,0.03075069749287257
1046,0.05886681121149971,0.07211528081085214,0.022246823241852523,0.03075069749287257
1047,0.03349421086853834,0.052589251934112485,0.014506450904610666,0.03075069749287257
1066,0.03601670592248831,0.02440247802362108,0.04517158650590601,0.03075069749287257
1071,0.11720351063168699,0.1048404275172396,0.11897095605633255,0.10539192955447557
1072,0.042750025564106495,0.03075069749287257,0.043441552891981684,0.03075069749287257
1074,0.04237776794078156,0.03511221031243586,0.04307737348304585,0.03075069749287257
1075,0.014678788745446182,0.025572626865078524,0.014431893842317411,0.03075069749287257
1079,0.0051873825685843115,0.0019442970587588305,0.01123247071314717,0.005571313523674072
1085,0.020883362164925028,0.01988581522629075,0.029361767503737816,0.03075069749287257
1091,0.01241347709335265,0.022565847812950016,0.014438167154153924,0.03075069749287257
1094,0.030186570585478287,0.03344340692642855,0.02512449465353528,0.03075069749287257
1101,0.05378245530276984,0.048299145703612635,0.04183762931975923,0.03075069749287257
1107,0.721250294422586,0.6671775261558314,0.7385055506231587,0.6800331616160786
1120,0.038746900735936646,0.05451536289423907,0.016300866600246638,0.03075069749287257
1134,0.03511627787184967,0.02862224707417223,0.0378831395129408,0.03075069749287257
1139,0.015177364525663734,0.013090676628249084,0.03077102219381015,0.03075069749287257
1141,1.851772835516507,1.9507342525057625,1.677755299205909,1.7546743936776816
1150,0.03179290756958537,0.03075069749287257,0.031160565479553388,0.03075069749287257
1158,0.04239345960161716,0.029874849986339106,0.04136170344691889,0.03075069749287257
1162,0.04088884541305459,0.029546640093596005,0.044699130764808685,0.03075069749287257
1168,0.051574446402546104,0.035917124544026235,0.052944270936079015,0.03075069749287257
1172,0.03343252952508347,0.0244110004005621,0.04355740330709358,0.03075069749287257
1178,0.037152054298226336,0.03350505007395857,0.03504849705137257,0.03075069749287257
1181,0.040154634255894155,0.04729279588825441,0.027044155416622875,0.03075069749287257
1197,0.05661618088493406,0.060077937179901904,0.03272148758490947,0.03075069749287257
1202,0.00838921876273159,0.004950486485152377,0.009627333534128195,0.005571313523674072
1210,0.04431762386977151,0.046117996199106746,0.03102015534973393,0.03075069749287257
1221,0.010738030299232489,0.019750230428537182,0.015665235189503603,0.03075069749287257
1223,0.0069996049298107245,0.011029945531510809,0.0189697971575517,0.03075069749287257
1230,0.0491729703670472,0.08068930542934981,0.058874918495877095,0.10539192955447557
1244,0.015654310960506655,0.013421931129275326,0.00775508085023818,0.005571313523674072
1252,0.052088239315750656,0.038992869560010884,0.050953488043803334,0.03075069749287257
1279,2.2176729687517045,2.357416627720192,2.276681823201966,2.479495009708483
1296,0.13767682830346975,0.11484406488632988,0.1383539538162912,0.10539192955447557
1298,0.044477827547723156,0.05749428174797844,0.01889075621583007,0.03075069749287257
1314,0.31927188019660996,0.3302125455852771,0.3152895471848363,0.3302125455852771
1318,0.023137355874790395,0.032167598840068486,0.020444060522463135,0.03075069749287257
1319,0.27019143534591494,0.31288106849277375,0.2655129585251095,0.3302125455852771
1321,0.03451374880150202,0.03368319724344719,0.03234617760532944,0.03075069749287257
1323,0.010009938418116728,0.016483309008801905,0.01907062298434206,0.03075069749287257
1327,0.02737915672620123,0.01921995924859721,0.040636237056661036,0.03075069749287257
1330,0.05320964814412261,0.03075069749287257,0.05979877817468454,0.03075069749287257
1332,0.012198287713170382,0.005727419611747267,0.013758617422383004,0.005571313523674072
1335,0.014270695116469617,0.010420663234931104,0.010904577547732988,0.005571313523674072
1338,0.0008795170547352708,0.0001430416317840569,0.00038106627639622427,0.005571313523674072
1343,0.032778583510121,0.03722271915752651,0.02831337275192508,0.03075069749287257
1363,0.012473655643474319,0.0044376081177254015,0.016370383643349327,0.005571313523674072
1365,0.04457767531249521,0.03075069749287257,0.047902642809785435,0.03075069749287257
1368,0.04018894873319248,0.03075069749287257,0.04033076182209174,0.03075069749287257
1380,0.0071226491862041085,0.014787336304398727,0.0012100905482108739,0.005571313523674072
1382,0.016387481967910327,0.006328644190268764,0.016370383643349327,0.005571313523674072
1384,0.011438691936081614,0.020299381697812247,0.015516989766502358,0.03075069749287257
1403,0.015710513928372423,0.022891862112845784,0.0162256121715306,0.03075069749287257
1405,0.028246035183500873,0.02549475057447532,0.027755407804128735,0.03075069749287257
1421,0.021663132215426772,0.03779463528741196,0.015523494616265602,0.03075069749287257
1442,0.0704365379994793,0.09162193171100261,0.08703058733874289,0.10539192955447557
1445,0.014781877833662926,0.03227387921428157,0.01261033224780984,0.03075069749287257
1446,0.03414529072667884,0.03075069749287257,0.033150113486635255,0.03075069749287257
1447,0.08821779732096098,0.09115341391815464,0.028824456571258004,0.03075069749287257
1451,0.01903033049560354,0.026947289610516182,0.021024452160113935,0.03075069749287257
1452,0.02358860046134155,0.036239531489002254,0.016379196592497546,0.03075069749287257
1453,0.020411635368540477,0.009719347547294706,0.01702002292998342,0.005571313523674072
1458,0.021149869535433862,0.02352502565869021,0.02850652269608086,0.03075069749287257
1462,0.05293212365595197,0.053912745841696086,0.03583935264284719,0.03075069749287257
1465,0.06590840139278012,0.0440379868338152,0.05665237202488499,0.03075069749287257
1469,0.007398419905967421,0.006536435955817029,0.03033233939683347,0.03075069749287257
1475,0.0206431859463767,0.01875624567066017,0.031230858686213326,0.03075069749287257
1483,0.04186300202803585,0.035762784729938824,0.03677320613232601,0.03075069749287257
1485,0.06697827493271082,0.06909340184235624,0.036316585995654335,0.03075069749287257
1488,0.011685094366559763,0.02199879125356724,0.013249114460864391,0.03075069749287257
