"IV","candidate_DV","against_DV","y1_n_obs","y1_Coefficient","y1_SE","y1_CI_low","y1_CI_high","y1_z","y1_p","y1_contrast_dir","Label","y1_p_adj"
"DaysDriving","phys","ang",2471,-0.101414838260762,0.0254733269967145,-0.151341641740734,-0.0514880347807899,-3.98121683413566,0.0000685633668551233,-1,"phys_vs_ang",0.00169895855068915
"DaysDriving","phys","anx",2471,-0.0888463449973137,0.0253928252122571,-0.138615367879058,-0.0390773221155691,-3.49887593265627,0.000467223930265437,-1,"phys_vs_anx",0.00813555808311801
"DaysDriving","phys","cog",2471,-0.110191388679122,0.0254094060388939,-0.159992909383908,-0.0603898679743352,-4.33663772031715,0.0000144678790354735,-1,"phys_vs_cog",0.000479784249327256
"DaysDriving","phys","dep",2471,-0.0864171511550017,0.0249014533468611,-0.135223102877554,-0.0376111994324496,-3.47036576344629,0.000519750065958613,-1,"phys_vs_dep",0.00858606045069241
"DaysDriving","phys","fati",2471,-0.0666300299913018,0.021846621672167,-0.109448621652621,-0.0238114383299823,-3.04990084925532,0.00228916925778644,-1,"phys_vs_fati",0.0327739952867038
"DaysDriving","phys","socialrole",2471,-0.0667999439337666,0.022050731134064,-0.110018582789308,-0.023581305078225,-3.02937546730928,0.00245059911845846,-1,"phys_vs_socialrole",0.0343224623272378
"DecelerationPer1000Miles","iso","ang",2469,0.0801605080780817,0.0215513724715888,0.0379205942163598,0.122400421939804,3.71950826722324,0.000199611014215284,1,"iso_vs_ang",0.00401881966510082
"DecelerationPer1000Miles","iso","socialrole",2469,0.0752593432712469,0.0210402915063412,0.0340211296945942,0.1164975568479,3.57691542669763,0.000347672596818116,1,"iso_vs_socialrole",0.00658802957448913
"MinutesPerTrip_n","phys","ang",2467,0.111629466291415,0.0259764687378744,0.0607165231196503,0.162542409463179,4.29733030373971,0.0000172867507683971,1,"phys_vs_ang",0.000530344502810454
"MinutesPerTrip_n","phys","anx",2467,0.12099565410365,0.025863826241573,0.0703034861677649,0.171687822039535,4.67818075228033,0.0000028943135952364,1,"phys_vs_anx",0.000186470261701446
"MinutesPerTrip_n","phys","cog",2467,0.134578939878954,0.0258857883114982,0.0838437270769896,0.185314152680918,5.19895080109171,0.000000200416558904237,1,"phys_vs_cog",0.0000430404042944581
"MinutesPerTrip_n","phys","dep",2467,0.113523219368845,0.0253620654992563,0.0638144844167571,0.163231954320934,4.47610307497132,0.00000760177949565843,1,"phys_vs_dep",0.00034982531024309
"MinutesPerTrip_n","phys","emo",2467,0.133899688620263,0.0265794927008206,0.0818048401993095,0.185994537041217,5.0377067059722,0.0000004711426400128,1,"phys_vs_emo",0.0000610377047879078
"MinutesPerTrip_n","phys","fati",2467,0.0787026518855519,0.0222898197734561,0.0350154079076893,0.122389895863415,3.53087879065201,0.000414181499682753,1,"phys_vs_fati",0.00741228639618401
"MinutesPerTrip_n","phys","info",2467,0.117825964007465,0.0272099686306729,0.0644954054708815,0.171156522544049,4.33024990240686,0.0000148940218449578,1,"phys_vs_info",0.000479784249327256
"MinutesPerTrip_n","phys","ins",2467,0.131857768823152,0.0261795539396598,0.0805467859700951,0.183168751676209,5.03666980449955,0.00000047370089251153,1,"phys_vs_ins",0.0000610377047879078
"MinutesPerTrip_n","phys","iso",2467,0.100145373715858,0.0255714887074378,0.050026176818207,0.150264570613509,3.91629032089669,0.0000899219530510198,1,"phys_vs_iso",0.00206905338031072
"MinutesPerTrip_n","phys","socialrole",2467,0.0796686101169532,0.0224589384218869,0.0356498996790521,0.123687320554854,3.54730079491708,0.000389199955866504,1,"phys_vs_socialrole",0.0071642170302549
"PercentTripsAtNight_n","socialrole","emo",2466,0.115603673819951,0.0260582393519872,0.0645304631895314,0.16667688445037,4.43635781598324,0.00000914937188611908,1,"socialrole_vs_emo",0.00038108872883881
"PercentTripsAtNight_n","socialrole","info",2466,0.1289379111874,0.0272310278004879,0.0755660774364345,0.182309744938365,4.73496307712225,0.00000219094981646073,1,"socialrole_vs_info",0.00015683894651705
"PercentTripsAtNight_n","socialrole","ins",2466,0.0893454879357675,0.0256248559382276,0.039121693187814,0.139569282683721,3.4866727895426,0.00048906933518067,1,"socialrole_vs_ins",0.00829183845463739
"PercentTripsPMPeak_n","socialrole","ang",2469,0.091663241937436,0.0224252346142199,0.047710589748704,0.135615894126168,4.08750425644653,0.0000436038678737205,1,"socialrole_vs_ang",0.0012769277641809
"PercentTripsPMPeak_n","socialrole","anx",2469,0.0894713258644152,0.0229143815429606,0.0445599633122031,0.134382688416627,3.90459265490851,0.0000943842267135953,1,"socialrole_vs_anx",0.00209684061363722
"PercentTripsPMPeak_n","socialrole","cog",2469,0.105549935601715,0.0235068733753358,0.0594773103969131,0.151622560806516,4.49017331724181,0.00000711652436935495,1,"socialrole_vs_cog",0.00034982531024309
