subject,fold_reduced,error_reduced,best_alpha_reduced,fold_full,error_full,best_alpha_full,diff
1018,8.0,0.08061092749643317,515.1580808080809,8.0,0.11264482621420582,984.8519191919193,0.03203389871777265
1026,2.0,0.5250875751007127,409.09818181818184,2.0,0.5662462153621866,696.9750505050505,0.04115864026147387
1030,4.0,0.5327083331241074,484.8552525252525,4.0,0.605104829647627,833.3377777777778,0.07239649652351965
1033,8.0,0.27025383646257883,515.1580808080809,8.0,0.28937261356810556,984.8519191919193,0.01911877710552673
1046,1.0,0.3700862189251394,409.09818181818184,1.0,0.7923093715475349,651.5208080808081,0.4222231526223955
1047,4.0,0.18638206348710165,484.8552525252525,4.0,0.22585199302476658,833.3377777777778,0.03946992953766493
1056,2.0,0.020128825054695546,409.09818181818184,2.0,0.03252144608468169,696.9750505050505,0.012392621029986142
1066,8.0,0.6222075775617529,515.1580808080809,8.0,0.6623621623362045,984.8519191919193,0.04015458477445155
1071,5.0,0.36748291709706227,439.4010101010101,5.0,0.5859447840650277,742.429292929293,0.21846186696796543
1072,0.0,5.421627477003332,530.3094949494949,0.0,5.209809888096611,833.3377777777778,-0.21181758890672064
1074,1.0,0.04472037386325748,409.09818181818184,1.0,0.060933688676341795,651.5208080808081,0.016213314813084315
1075,2.0,4.989293574982573e-05,409.09818181818184,2.0,0.02150348706086242,696.9750505050505,0.021453594125112597
1079,7.0,0.20772682576919546,530.3094949494949,7.0,0.08951230372094943,954.5490909090909,-0.11821452204824603
1085,5.0,0.3312969833551224,439.4010101010101,5.0,0.16863919659423968,742.429292929293,-0.16265778676088274
1089,1.0,0.8777647693671136,409.09818181818184,1.0,0.6859658215509369,651.5208080808081,-0.19179894781617668
1091,3.0,0.2616535065775383,454.55242424242425,3.0,0.41918945167785904,545.4609090909091,0.15753594510032076
1094,5.0,0.3909162100813125,439.4010101010101,5.0,0.2905251064818417,742.429292929293,-0.10039110359947079
1101,2.0,2.369715882765381,409.09818181818184,2.0,2.091437670954588,696.9750505050505,-0.27827821181079315
1104,2.0,0.2473662823362601,409.09818181818184,2.0,0.2870691527624385,696.9750505050505,0.0397028704261784
1107,4.0,1.4332252081895729,484.8552525252525,4.0,1.1305704789500435,833.3377777777778,-0.3026547292395294
1120,2.0,0.054950757150738536,409.09818181818184,2.0,0.011386763871437786,696.9750505050505,-0.04356399327930075
1134,8.0,0.2408008013889223,515.1580808080809,8.0,0.2587071367113521,984.8519191919193,0.0179063353224298
1139,1.0,0.4615856495878644,409.09818181818184,1.0,0.25049028605188134,651.5208080808081,-0.21109536353598307
1141,1.0,6.814078785788635,409.09818181818184,1.0,7.93124379169676,651.5208080808081,1.1171650059081246
1158,9.0,0.41403886350304603,378.7953535353535,9.0,0.3430946179191254,651.5208080808081,-0.07094424558392065
1162,9.0,1.979340543973208e-06,378.7953535353535,9.0,0.001774669106772347,651.5208080808081,0.0017726897662283738
1168,8.0,0.6721759696814292,515.1580808080809,8.0,0.7848140420030455,984.8519191919193,0.11263807232161627
1172,1.0,0.6111210566712714,409.09818181818184,1.0,0.570508134162409,651.5208080808081,-0.04061292250886239
1181,7.0,0.0031852648570335675,530.3094949494949,7.0,0.015517592862617929,954.5490909090909,0.012332328005584361
1210,5.0,0.20913620777319591,439.4010101010101,5.0,0.30806667139890465,742.429292929293,0.09893046362570873
1221,2.0,0.26612434715205596,409.09818181818184,2.0,0.3306724371731441,696.9750505050505,0.06454809002108813
1223,3.0,0.04490479924024903,454.55242424242425,3.0,0.1074075652752578,545.4609090909091,0.06250276603500876
1230,5.0,0.010161757502265882,439.4010101010101,5.0,0.03968654594755829,742.429292929293,0.02952478844529241
1252,0.0,0.010102119533980101,530.3094949494949,0.0,0.03929716167587727,833.3377777777778,0.029195042141897165
1279,3.0,9.32202721591594,454.55242424242425,3.0,9.331689892261762,545.4609090909091,0.009662676345822518
1296,5.0,0.2927335387444661,439.4010101010101,5.0,0.2344668227509277,742.429292929293,-0.058266715993538415
1298,4.0,0.26956118569141424,484.8552525252525,4.0,0.47303833314557037,833.3377777777778,0.20347714745415613
1314,1.0,0.00031579930294677966,409.09818181818184,1.0,0.012004569496485472,651.5208080808081,0.011688770193538693
1318,6.0,0.3039405963642204,393.94676767676765,6.0,0.20242624551698374,681.8236363636364,-0.10151435084723665
1319,2.0,1.557266009593827,409.09818181818184,2.0,1.4363804203858486,696.9750505050505,-0.12088558920797854
