subject,fold_reduced,error_reduced,best_alpha_reduced,fold_full,error_full,best_alpha_full,diff
1018,8.0,0.004197317620526495,193.94292929292928,8.0,0.00800507154093678,30.312020202020204,0.003807753920410286
1026,2.0,0.6404567026083134,242.4261616161616,2.0,1.1894628163788508,30.312020202020204,0.5490061137705373
1030,4.0,0.6119029257536686,203.03353535353534,4.0,0.8418908351049711,33.34222222222222,0.22998790935130253
1033,8.0,0.6227373885672249,193.94292929292928,8.0,1.2542308733069465,30.312020202020204,0.6314934847397216
1046,1.0,0.1027518238240276,151.520101010101,1.0,0.0016489371511299413,24.251616161616163,-0.10110288667289766
1047,4.0,0.43302861929902037,203.03353535353534,4.0,0.13059809657231614,33.34222222222222,-0.30243052272670423
1056,2.0,0.15170472848546185,242.4261616161616,2.0,0.13470502187110175,30.312020202020204,-0.016999706614360094
1066,8.0,0.00036499068643802165,193.94292929292928,8.0,0.001524228449217108,30.312020202020204,0.0011592377627790864
1071,5.0,0.2080195625316523,209.09393939393937,5.0,0.32283807116443985,33.34222222222222,0.11481850863278756
1072,0.0,0.4597270674017411,193.94292929292928,0.0,0.7672634541643664,30.312020202020204,0.3075363867626253
1074,1.0,0.9975682308055527,151.520101010101,1.0,0.3244560859233455,24.251616161616163,-0.6731121448822072
1075,2.0,0.13342452406425362,242.4261616161616,2.0,0.15719580090259752,30.312020202020204,0.023771276838343902
1079,7.0,7.625362065550983,172.73151515151514,7.0,7.194857723886302,30.312020202020204,-0.43050434166468143
1085,5.0,0.8004068903650956,209.09393939393937,5.0,1.001891029176065,33.34222222222222,0.20148413881096938
1089,1.0,10.062987021906526,151.520101010101,1.0,6.579805913551822,24.251616161616163,-3.483181108354704
1091,3.0,0.17842953929307423,215.15434343434342,3.0,0.45245994538769907,27.28181818181818,0.2740304060946248
1094,5.0,0.16894984418314946,209.09393939393937,5.0,0.18329706071548452,33.34222222222222,0.014347216532335061
1101,2.0,0.10777764618374107,242.4261616161616,2.0,0.00256355030038589,30.312020202020204,-0.10521409588335517
1104,2.0,1.2088638626622605,242.4261616161616,2.0,0.5631775003353238,30.312020202020204,-0.6456863623269368
1107,4.0,0.45342277653970325,203.03353535353534,4.0,0.44941814986475515,33.34222222222222,-0.0040046266749481085
1120,2.0,0.021435193789746593,242.4261616161616,2.0,0.010319537610166227,30.312020202020204,-0.011115656179580366
1134,8.0,0.03969164518772885,193.94292929292928,8.0,0.03825134077244422,30.312020202020204,-0.0014403044152846295
1139,1.0,0.08346412031364388,151.520101010101,1.0,0.0254672665754667,24.251616161616163,-0.05799685373817717
1141,1.0,0.34426607348178107,151.520101010101,1.0,0.021098172832203502,24.251616161616163,-0.32316790064957757
1158,9.0,0.8110136502276725,209.09393939393937,9.0,0.8476990369992452,30.312020202020204,0.03668538677157274
1162,9.0,3.618608799269352,209.09393939393937,9.0,3.6430095162695264,30.312020202020204,0.02440071700017432
1168,8.0,0.022626037040138682,193.94292929292928,8.0,0.03401078810292797,30.312020202020204,0.01138475106278929
1172,1.0,0.33302983200496067,151.520101010101,1.0,0.10668232952430651,24.251616161616163,-0.22634750248065416
1181,7.0,0.04271440458547164,172.73151515151514,7.0,0.2893864623563665,30.312020202020204,0.24667205777089485
1210,5.0,0.36130624665309424,209.09393939393937,5.0,0.6047929791816732,33.34222222222222,0.24348673252857894
1221,2.0,0.09824028488291066,242.4261616161616,2.0,0.3533817368281114,30.312020202020204,0.25514145194520077
1223,3.0,0.28480889891605543,215.15434343434342,3.0,0.3657319622429256,27.28181818181818,0.08092306332687016
1230,5.0,0.741025834880998,209.09393939393937,5.0,0.8690629091137989,33.34222222222222,0.12803707423280086
1252,0.0,2.414892834210078,193.94292929292928,0.0,2.142949068188853,30.312020202020204,-0.27194376602122494
1279,3.0,0.5710538610733645,215.15434343434342,3.0,0.2522624187855725,27.28181818181818,-0.31879144228779205
1296,5.0,0.08220369593970658,209.09393939393937,5.0,0.3176288108352618,33.34222222222222,0.2354251148955552
1298,4.0,0.15349584210440162,203.03353535353534,4.0,0.1247481691972632,33.34222222222222,-0.028747672907138422
1314,1.0,0.2916449646630323,151.520101010101,1.0,0.5353295541262812,24.251616161616163,0.24368458946324895
1318,6.0,0.5267081630385153,245.45636363636362,6.0,0.2939476870046553,30.312020202020204,-0.23276047603386002
1319,2.0,0.0023846255608330215,242.4261616161616,2.0,0.005559291282089076,30.312020202020204,0.0031746657212560546
1321,2.0,1.1926699736097555,242.4261616161616,2.0,1.2175621162014587,30.312020202020204,0.024892142591703248
1323,1.0,0.15380710348322119,151.520101010101,1.0,0.06818666168052762,24.251616161616163,-0.08562044180269357
1327,4.0,0.0008315828112194282,203.03353535353534,4.0,0.027352992488402297,33.34222222222222,0.026521409677182868
1330,3.0,1.027633302433212,215.15434343434342,3.0,1.6395560369677973,27.28181818181818,0.6119227345345852
1332,6.0,0.0641770627365577,245.45636363636362,6.0,0.03334358548636383,30.312020202020204,-0.030833477250193864
1335,4.0,0.14097760990421507,203.03353535353534,4.0,0.0754621751693655,33.34222222222222,-0.06551543473484957
1338,7.0,0.11806896070571339,172.73151515151514,7.0,0.05851772671398268,30.312020202020204,-0.05955123399173071
1343,2.0,2.8321954484539185,242.4261616161616,2.0,2.9873442085387696,30.312020202020204,0.15514876008485112
1363,2.0,0.007213954552565573,242.4261616161616,2.0,0.0054266119649795785,30.312020202020204,-0.0017873425875859945
1365,6.0,0.6719855291469501,245.45636363636362,6.0,0.2283830500470088,30.312020202020204,-0.4436024790999413
1368,5.0,0.22638488904416615,209.09393939393937,5.0,0.3344046831851745,33.34222222222222,0.10801979414100837
1369,6.0,0.23242177867039135,245.45636363636362,6.0,0.1729272760412148,30.312020202020204,-0.05949450262917655
1372,2.0,0.08057888466014114,242.4261616161616,2.0,2.3233513939483456e-07,30.312020202020204,-0.08057865232500175
1380,0.0,0.9285271615943583,193.94292929292928,0.0,1.1074800898778765,30.312020202020204,0.17895292828351816
1382,4.0,0.22053590469692141,203.03353535353534,4.0,0.1984798128376397,33.34222222222222,-0.0220560918592817
1384,4.0,0.004976442322975004,203.03353535353534,4.0,0.008822889402458248,33.34222222222222,0.003846447079483244
