subject,fold_reduced,error_reduced,best_alpha_reduced,fold_full,error_full,best_alpha_full,diff
1018,8.0,0.062246354140622503,5.257272727272727,8.0,0.015581968206939271,8.284545454545453,-0.04666438593368323
1026,2.0,0.21241098411799944,5.156363636363636,2.0,0.12234462695215817,8.385454545454545,-0.09006635716584127
1030,4.0,0.3558610731931872,5.56,4.0,0.41358473847556154,9.293636363636363,0.057723665282374326
1033,8.0,0.41194735497395835,5.257272727272727,8.0,0.3989658314744074,8.284545454545453,-0.012981523499550951
1046,1.0,5.787328023877852,5.156363636363636,1.0,5.91797213789634,8.486363636363636,0.1306441140184882
1047,4.0,0.0552235934293666,5.56,4.0,0.04514908055841962,9.293636363636363,-0.010074512870946982
1056,2.0,0.0893631093559089,5.156363636363636,2.0,0.1026739534384149,8.385454545454545,0.013310844082506004
1066,8.0,3.4390930410433023,5.257272727272727,8.0,3.5058280283514494,8.284545454545453,0.06673498730814709
1071,5.0,16.872803035389502,4.954545454545454,5.0,16.485350097078868,8.385454545454545,-0.3874529383106342
1072,0.0,5.222961923721931,4.550909090909091,0.0,5.9751113317152535,7.578181818181818,0.7521494079933229
1074,1.0,1.4497020609873583,5.156363636363636,1.0,1.2391439227206325,8.486363636363636,-0.21055813826672587
1075,2.0,0.20092776808567958,5.156363636363636,2.0,0.24284757187661907,8.385454545454545,0.041919803790939486
1079,7.0,1.2501733435377167,4.248181818181818,7.0,0.9496374701297431,7.477272727272727,-0.3005358734079736
1085,5.0,0.2626294349056572,4.954545454545454,5.0,0.23004494612934082,8.385454545454545,-0.032584488776316395
1089,1.0,0.2024276233911349,5.156363636363636,1.0,0.3030140664982957,8.486363636363636,0.1005864431071608
1091,3.0,0.0025685796089753264,5.055454545454545,3.0,0.00021564813714912222,8.385454545454545,-0.0023529314718262044
1094,5.0,0.11409905030664573,4.954545454545454,5.0,0.11868060790997513,8.385454545454545,0.0045815576033294
1101,2.0,1.6910386887142965,5.156363636363636,2.0,1.6678029526550195,8.385454545454545,-0.02323573605927698
1104,2.0,0.1046084643808412,5.156363636363636,2.0,0.07378157303938268,8.385454545454545,-0.030826891341458523
