subject,fold_reduced,error_reduced,best_alpha_reduced,fold_full,error_full,best_alpha_full,diff
1018,8.0,0.012922386496652834,5.66090909090909,8.0,0.012021780535945137,7.477272727272727,-0.0009006059607076979
1026,2.0,0.37728015220331557,4.550909090909091,2.0,0.3917443148955634,6.0645454545454545,0.014464162692247817
1030,4.0,0.6051706668425688,4.046363636363636,4.0,0.5169755939531933,5.66090909090909,-0.08819507288937556
1033,8.0,0.006746375062282961,5.66090909090909,8.0,0.0009725776538644641,7.477272727272727,-0.005773797408418497
1046,1.0,0.20344705622428227,4.1472727272727266,1.0,0.4258682767368465,5.56,0.22242122051256424
1047,4.0,0.9175163576150118,4.046363636363636,4.0,0.8212796479198725,5.66090909090909,-0.09623670969513931
1056,2.0,0.9072061389549795,4.550909090909091,2.0,0.8332027144816341,6.0645454545454545,-0.0740034244733454
1066,8.0,0.3804189208939051,5.66090909090909,8.0,0.41158574787741015,7.477272727272727,0.031166826983505036
1071,5.0,0.6870198749727119,3.9454545454545453,5.0,0.9001066642444047,5.761818181818182,0.21308678927169278
1072,0.0,1.1105040445210967,4.651818181818181,0.0,0.451166397938305,5.963636363636363,-0.6593376465827918
1074,1.0,0.048935430506638275,4.1472727272727266,1.0,0.023205682907513177,5.56,-0.025729747599125097
1075,2.0,0.22204858383850673,4.550909090909091,2.0,0.19408079234195422,6.0645454545454545,-0.027967791496552513
1079,7.0,0.4409196680178051,3.239090909090909,7.0,0.5382805963262305,4.449999999999999,0.09736092830842541
1085,5.0,0.05853771847104551,3.9454545454545453,5.0,0.087400441895161,5.761818181818182,0.028862723424115486
1089,1.0,0.5357105230814249,4.1472727272727266,1.0,0.7348401562221579,5.56,0.19912963314073306
1091,3.0,0.22672009154385314,4.1472727272727266,3.0,0.1788227886796393,5.66090909090909,-0.04789730286421384
1094,5.0,0.9588365875899907,3.9454545454545453,5.0,0.7759259193552219,5.761818181818182,-0.18291066823476876
1101,2.0,1.2205474737818303,4.550909090909091,2.0,1.4050806347750568,6.0645454545454545,0.18453316099322659
1104,2.0,0.025069205518587837,4.550909090909091,2.0,0.02484326982356147,6.0645454545454545,-0.00022593569502636635
1107,4.0,0.14214223208299454,4.046363636363636,4.0,0.13975657460011928,5.66090909090909,-0.002385657482875253
1120,2.0,0.03800535887983584,4.550909090909091,2.0,0.003929178016530731,6.0645454545454545,-0.034076180863305106
1134,8.0,0.03941211618795824,5.66090909090909,8.0,0.027772614683394727,7.477272727272727,-0.011639501504563516
1139,1.0,0.0010267737463531836,4.1472727272727266,1.0,0.00263159502728296,5.56,0.0016048212809297766
1141,1.0,0.0002622920101606162,4.1472727272727266,1.0,0.0018586824654329215,5.56,0.0015963904552723054
1158,9.0,1.196852843196276,4.046363636363636,9.0,0.8624807463987079,6.569090909090908,-0.3343720967975681
1162,9.0,1.5877572495466545,4.046363636363636,9.0,1.5326079364874134,6.569090909090908,-0.05514931305924109
1168,8.0,0.06397786856291399,5.66090909090909,8.0,0.09201083749103545,7.477272727272727,0.02803296892812146
1172,1.0,0.9439654310080712,4.1472727272727266,1.0,1.0876736117967558,5.56,0.14370818078868464
1181,7.0,1.3923939457970735,3.239090909090909,7.0,1.4722518331217702,4.449999999999999,0.07985788732469667
1210,5.0,0.2017544008215165,3.9454545454545453,5.0,0.2860948846269807,5.761818181818182,0.08434048380546419
1221,2.0,0.22309458384443037,4.550909090909091,2.0,0.23106005662524448,6.0645454545454545,0.007965472780814109
1223,3.0,0.03144079428809312,4.1472727272727266,3.0,0.0022430530538136537,5.66090909090909,-0.029197741234279467
1230,5.0,0.856239908994116,3.9454545454545453,5.0,0.7711538124576195,5.761818181818182,-0.08508609653649646
1252,0.0,0.7153432251936256,4.651818181818181,0.0,0.8611958144069934,5.963636363636363,0.14585258921336786
1279,3.0,6.730348252398153,4.1472727272727266,3.0,6.263167890537968,5.66090909090909,-0.4671803618601853
1296,5.0,1.316503044309849,3.9454545454545453,5.0,1.0700216154989923,5.761818181818182,-0.24648142881085677
1298,4.0,1.0095119013843001,4.046363636363636,4.0,1.4890103091186326,5.66090909090909,0.4794984077343325
1314,1.0,1.8615057218559783,4.1472727272727266,1.0,2.0649272614937497,5.56,0.20342153963777143
1318,6.0,1.3140772076066285,4.046363636363636,6.0,1.197870598465675,5.459090909090909,-0.11620660914095349
1319,2.0,1.2314497923529109,4.550909090909091,2.0,1.0858610697186675,6.0645454545454545,-0.14558872263424338
1321,2.0,1.6634314621868571,4.550909090909091,2.0,1.313516797582478,6.0645454545454545,-0.34991466460437914
1323,1.0,1.1000151561243874,4.1472727272727266,1.0,1.1818456122435055,5.56,0.0818304561191181
1327,4.0,1.3810937489014714,4.046363636363636,4.0,1.1935178546042384,5.66090909090909,-0.18757589429723298
1330,3.0,0.5181426455995024,4.1472727272727266,3.0,0.4403428333627532,5.66090909090909,-0.0777998122367492
1332,6.0,0.5236849875535294,4.046363636363636,6.0,0.4070327711859817,5.459090909090909,-0.11665221636754775
1335,4.0,2.629300666810364,4.046363636363636,4.0,2.241949521526049,5.66090909090909,-0.387351145284315
1338,7.0,0.2981981053681675,3.239090909090909,7.0,0.3569896585977053,4.449999999999999,0.05879155322953783
1343,2.0,0.11039074851716023,4.550909090909091,2.0,0.2289116383746358,6.0645454545454545,0.11852088985747557
1363,2.0,0.5499067194248524,4.550909090909091,2.0,0.5574840270636768,6.0645454545454545,0.007577307638824471
1365,6.0,0.9734314839402214,4.046363636363636,6.0,0.9205379411915594,5.459090909090909,-0.05289354274866198
1368,5.0,0.2347009698001931,3.9454545454545453,5.0,0.2806543038336941,5.761818181818182,0.04595333403350102
1369,6.0,1.4254009813671307,4.046363636363636,6.0,1.5162592858157917,5.459090909090909,0.09085830444866105
1372,2.0,3.4823072738069727,4.550909090909091,2.0,3.7762806334562846,6.0645454545454545,0.2939733596493119
1380,0.0,0.39699833455404854,4.651818181818181,0.0,0.18526992242736837,5.963636363636363,-0.21172841212668017
1382,4.0,0.037207846657067514,4.046363636363636,4.0,0.0020305572518838576,5.66090909090909,-0.03517728940518366
1384,4.0,0.9199990780565949,4.046363636363636,4.0,1.1531295907597703,5.66090909090909,0.23313051270317542
1403,5.0,0.17371551079845654,3.9454545454545453,5.0,0.00020734693671075967,5.761818181818182,-0.17350816386174578
1405,1.0,0.0032251542226438014,4.1472727272727266,1.0,0.009496775667849497,5.56,0.006271621445205695
1421,2.0,0.35595099971507593,4.550909090909091,2.0,0.1939237193654951,6.0645454545454545,-0.16202728034958083
1442,7.0,3.8486021431753805,3.239090909090909,7.0,3.195025221761872,4.449999999999999,-0.6535769214135083
